"Estado","Ano","ImpostoSobreProduto","Pib","RendaPerCapita","RendimentoMedio","TaxaDesemprego","TotalAdmissao","TotalDemissao","TaxaInadimplencia","QtdInadimplentes","TotalHomem","TotalMulher","H_0 a 1","H_1 a 4","H_5 a 9","H_10 a 14","H_15 a 19","H_20 a 29","H_30 a 39","H_40 a 49","H_50 a 59","H_60 a 69","H_70 a 79","H_80 +","M_0 a 1","M_1 a 4","M_5 a 9","M_10 a 14","M_15 a 19","M_20 a 29","M_30 a 39","M_40 a 49","M_50 a 59","M_60 a 69","M_70 a 79","M_80 +","Automovel","Caminhao","CaminhaoTrator","Caminhonete","Camioneta","Ciclomotor","Microonibus","Motocicleta","Motoneta"
"Mato Grosso","2016","11,965,238","123,834,000"," $ 1,139.00 "," $ 2,218.50 ","9.4%","337662","358166","44.85%","1018930","1669524","1623924","22364","97188","125213","141716","141548","312268","277543","240687","159189","89412","46402","15994","23886","94655","117595","137152","141646","298051","281691","228073","155183","85962","42432","17598","651065","67896","29552","196586","37337","7384","3410","577776","202532"
"Mato Grosso do Sul","2016","9,225,091","91,866,000"," $ 1,283.00 "," $ 2,201.25 ","7.7%","222144","224566","40.26%","750031","1325110","1349431","19301","74407","96801","114973","116835","241574","204538","183614","135700","77388","42851","17128","19355","71472","91746","111233","114441","237855","216572","192444","143746","83099","46173","21295","677021","49759","15385","145541","36233","3320","3613","349551","103349"
"Minas Gerais","2016","66,337,716","544,634,000"," $ 1,168.00 "," $ 2,025.25 ","11.1%","1591099","1714866","36.72%","5578627","10290481","10713624","98887","396108","593537","812392","817902","1884453","1599816","1521048","1257616","736939","403416","168367","95218","375475","591348","792776","802261","1849740","1632759","1605272","1368494","814269","515824","270188","5652316","323729","64745","824024","291204","45467","44514","2379738","268287"
"Pará","2016","13,279,177","138,068,000"," $ 708.00 "," $ 1,493.50 ","11.2%","246834","290282","43.80%","2269567","4179698","4113717","71473","301558","406109","449534","413379","811852","655640","458832","310293","178273","88754","34001","69224","289458","392420","432410","405959","813493","644505","444303","305947","177146","94459","44393","548146","58622","7470","131379","36819","5406","6581","792245","173766"
"Paraíba","2016","6,266,587","59,089,000"," $ 790.00 "," $ 1,549.00 ","11.4%","117358","130310","31.56%","871295","1936950","2063569","29066","109025","152238","167561","164868","361461","298989","260252","171112","121636","63813","36929","26481","103202","145016","162892","159438","367566","317021","283550","199355","149681","91741","57626","483927","28459","2632","74963","25501","25838","4528","448904","62306"
"Paraná","2016","50,484,621","401,662,000"," $ 1,398.00 "," $ 2,420.50 ","8.2%","1055016","1114511","36.34%","2933387","5499521","5744823","59724","224500","305227","448508","442927","960694","830081","860573","663566","398015","219352","86354","53620","209427","301564","430708","441435","940346","875081","910513","731816","464685","259113","126515","4203635","264684","86261","609331","220001","7889","21858","1101224","278234"
"Pernambuco","2016","23,319,650","167,290,000"," $ 872.00 "," $ 1,740.50 ","14.6%","374724","427673","41.12%","2663942","4512611","4900008","55572","239174","354917","410317","377556","847392","735937","609860","410716","268891","134758","67521","54478","229359","339995","395794","375074","880973","794862","685604","498267","337399","199411","108792","1237421","91615","11446","170087","85657","36214","18197","975136","99703"
"Piauí","2016","4,427,865","41,406,000"," $ 747.00 "," $ 1,429.75 ","9.4%","88119","101635","36.43%","790247","1561385","1641091","13824","57989","108381","121174","120118","311877","264211","205910","156851","107193","62430","31427","14841","57217","94038","112723","130389","304232","270237","214526","194046","121318","83458","44066","322487","27410","2373","78460","16017","6456","3369","514885","91123"
"Rio de Janeiro","2016","98,268,588","640,186,000"," $ 1,429.00 "," $ 2,582.25 ","11.7%","1215423","1457004","45.81%","5647508","7910776","8728099","87100","354272","527023","684867","627460","1347181","1249884","1128322","948175","550613","288766","117113","85353","345927","511246","661496","616232","1387862","1357323","1260332","1130533","705285","426835","239675","4304384","143509","16223","324952","282937","37732","38550","889919","157050"
"Rio Grande do Norte","2016","6,544,357","59,661,000"," $ 919.00 "," $ 1,705.25 ","14.2%","134950","151236","36.91%","891782","1697146","1778694","20915","87426","124105","149973","152183","339028","260554","239605","146208","99030","49614","28505","20316","84296","114841","142831","149532","338404","272612","258156","167951","118973","68000","42782","510192","31602","3082","79033","26809","23990","4921","407333","56633"
