Estado,Ano,ImpostoSobreProduto,Pib,RendaPerCapita,RendimentoMedio,TaxaDesemprego,TotalAdmissao,TotalDemissao,TaxaInadimplencia,QtdInadimplentes,TotalHomem,TotalMulher,H_0 a 1,H_1 a 4,H_5 a 9,H_10 a 14,H_15 a 19,H_20 a 29,H_30 a 39,H_40 a 49,H_50 a 59,H_60 a 69,H_70 a 79,H_80 +,M_0 a 1,M_1 a 4,M_5 a 9,M_10 a 14,M_15 a 19,M_20 a 29,M_30 a 39,M_40 a 49,M_50 a 59,M_60 a 69,M_70 a 79,M_80 +,Automovel,Caminhao,CaminhaoTrator,Caminhonete,Camioneta,Ciclomotor,Microonibus,Motocicleta,Motoneta
Rio de Janeiro,2016,98268588,640186000,1429.0,2582.25,0.11699999999999999,1215423,1457004,0.4581,5647508,7910776,8728099,87100,354272,527023,684867,627460,1347181,1249884,1128322,948175,550613,288766,117113,85353,345927,511246,661496,616232,1387862,1357323,1260332,1130533,705285,426835,239675,4304384,143509,16223,324952,282937,37732,38550,889919,157050
Rio Grande do Norte,2016,6544357,59661000,919.0,1705.25,0.142,134950,151236,0.3691,891782,1697146,1778694,20915,87426,124105,149973,152183,339028,260554,239605,146208,99030,49614,28505,20316,84296,114841,142831,149532,338404,272612,258156,167951,118973,68000,42782,510192,31602,3082,79033,26809,23990,4921,407333,56633
Rio Grande do Sul   ,2016,52764585,408645000,1554.0,2556.25,0.08199999999999999,1004092,1061358,0.33759999999999996,2832766,5464063,5821759,46477,200444,321818,432996,406661,963315,775032,798122,750372,457728,222518,88580,46985,196032,304699,414424,398962,965929,782219,857226,835180,529500,311732,178871,4071134,222940,55493,483609,234926,5299,20361,1039618,181090
Rondonia,2016,4075520,39451000,901.0,1788.75,0.079,97214,111081,0.4294,513290,913812,874065,14263,57355,74224,84934,85934,182136,143325,122846,79353,43996,18092,7354,12504,55271,73088,80977,81576,170698,145250,113977,76086,39279,17978,7381,255545,29982,6135,83100,11403,2281,1204,370172,112533
Roraima,2016,835732,11011000,1068.0,2267.75,0.08800000000000001,19633,20321,0.5623,175485,260729,253665,5025,20268,27313,29724,26282,50157,38316,28464,19123,10060,4301,1696,4753,19070,25901,28982,25588,50628,39495,27183,17678,8589,3885,1913,66722,4646,651,23545,4635,963,647,75528,19218
Santa Catarina,2016,38841582,256661000,1458.0,2401.75,0.063,865817,898823,0.3395,1711683,3407390,3481721,38149,148897,201062,264845,277932,658056,525238,525860,405179,220201,105425,36546,36758,141432,193859,256271,274983,631649,525844,545977,429125,244841,135289,65693,2733827,148303,48660,353967,156774,1721,11688,833005,259824
Sao Paulo,2016,313450001,2038005000,1723.0,3028.25,0.124,4275084,4676636,0.4217,13901122,21640037,23117627,214970,856495,1277277,1618275,1450586,3998742,3608081,3191440,2736663,1534958,796155,356395,211301,819879,1207260,1555662,1381148,3922910,3780027,3477889,3148065,1862236,1102769,648481,17247124,669056,162501,1825129,1105626,53318,118291,4378772,828036
Sergipe,2016,4125535,38867000,878.0,1746.0,0.133,81603,97053,0.41119999999999995,626043,1094787,1171513,12536,56883,80610,105444,97001,214858,180240,152036,94584,59893,27751,12951,13035,53603,78302,101660,99591,224722,196454,165970,109138,68192,39572,21274,307389,20833,2368,39148,14208,20557,3385,231233,39819
Tocantins,2016,3053352,31576000,863.0,1868.0,0.115,60956,65585,0.4628,462705,775833,757539,11568,47778,67828,78072,74301,145325,119563,94469,63139,40840,23204,9746,11249,47427,63781,74582,73674,145692,121077,92330,60500,36759,21212,9256,194009,22215,4613,59162,9942,1868,1601,218287,89035
Acre,2017,1328801,13879198,769.0,1828.5,0.141,22351,23347,0.513,251103,415827,414510,7076,31585,45062,49673,40678,78466,63682,42869,28515,16227,7980,4014,6783,30129,42240,48416,41331,79356,65265,43187,29089,16561,8173,3980,83333,7085,837,25469,4139,576,360,111462,23628
Alagoas,2017,5321602,52544789,658.0,1415.5,0.16699999999999998,101000,109324,0.42100000000000004,916198,1612890,1831506,714,16511,57715,107888,64534,365331,288910,290995,192690,136490,70861,20251,3398,15100,54270,119537,83591,386559,371749,305124,220899,135914,93118,42247,340537,21028,2351,52180,20330,622,6385,273309,38259
Amapa,2017,776527,14816707,936.0,2387.0,0.177,17668,18593,0.598,282409,399096,399117,7163,29336,40916,46883,42123,79006,62684,42893,26620,12937,6279,2256,7257,27652,39283,45997,41733,81055,65687,42029,25677,12759,6804,3184,76732,4005,332,20668,4369,944,459,62022,12020
Amazonas,2017,12389174,91465816,850.0,1883.75,0.157,116592,117539,0.534,1294398,2048380,2019142,36625,147122,206363,231755,197944,393333,325262,228313,150713,77660,37204,16086,35525,141664,196270,223170,195846,390915,327856,218704,148393,78265,41353,21181,377799,19848,3022,84007,26962,1981,3501,244350,54460
Bahia,2017,31761705,272254310,862.0,1561.0,0.17,536714,540620,0.39399999999999996,4136228,7446766,8644638,52405,242336,452308,531760,420679,1417586,1362428,1158546,828541,531519,303822,144836,41191,218128,370714,593690,497564,1498875,1418415,1228539,926299,549300,1115526,186397,1754967,116551,20213,338113,111050,14871,28552,1248065,182345
Ceara,2017,17258249,146128151,824.0,1474.25,0.126,365964,371270,0.384,2340965,4396740,4631055,56087,227524,318750,428032,433894,861460,661307,577361,364341,251962,138399,77623,54467,217679,306548,408193,427529,882085,698996,624152,427733,292943,181447,109283,1098909,72249,8314,185097,58475,7179,11971,1327944,157912
Distrito Federal,2017,28972358,255381137,2548.0,4178.25,0.132,239867,243261,0.45,952768,1452834,1586912,17274,72611,106975,124393,109913,284983,273053,212370,133466,70024,35377,12395,17195,70739,102619,119681,106678,299438,307673,238743,164732,92308,46112,20994,1247360,23657,3210,120921,82189,1219,5692,182428,18591
Espirito Santo,2017,14196084,98088020,1205.0,2173.0,0.131,285564,290111,0.447,1275301,1979433,2040193,26104,100410,145287,168848,155656,379115,323943,263200,214403,116906,59983,25578,23741,99883,138959,163855,150600,376141,336526,273150,232404,130713,74075,40146,927681,72046,17209,160448,55813,1480,8016,432467,103097
Goias,2017,20245626,189751550,1277.0,2205.25,0.106,549161,532925,0.354,2071634,3365361,3420238,42167,178339,259074,304862,278118,633345,591765,462815,310689,182360,87612,34215,43223,172928,252901,287592,275234,626607,603999,476412,336777,197785,103491,43289,1782213,110366,29130,339970,93728,26487,9577,854527,268802
Maranhao,2017,10182869,92096006,597.0,1316.25,0.14300000000000002,135500,138325,0.415,1810817,3485675,3525280,56662,256466,343589,367469,340064,689265,497538,359499,257082,173407,101650,42984,56609,248570,328168,353436,335232,698815,514123,382424,282781,172421,102962,49739,415386,40052,4394,112551,22876,10406,4804,821118,150802
Mato Grosso,2017,14109932,140249681,1247.0,2312.0,0.09,349339,337186,0.469,1065509,1688516,1645626,22074,96958,124625,141527,141284,315806,281342,246268,162658,91614,47874,16486,23995,94524,116785,137287,142012,300812,286904,233302,159537,88481,43712,18275,680897,69978,31104,207218,39785,7512,3507,597999,212898
Mato Grosso do Sul,2017,9684204,100649445,1291.0,2281.25,0.085,222990,229551,0.42100000000000004,784318,1336230,1369779,19270,73924,96063,115133,117135,244690,203117,187274,139090,79017,43918,17599,19354,70932,90949,111433,114772,240613,223236,196422,147602,85130,47412,21924,704169,51664,16350,152990,38381,3638,3771,358848,106706
Minas Gerais,2017,70787232,569936787,1224.0,2011.25,0.122,1620892,1605454,0.384,5833646,10352936,10786173,96185,384704,582599,808485,812014,1898374,1611661,1541726,1283636,749947,411412,172193,92617,364185,581149,788944,796778,1862502,1643811,1628025,1397196,828183,526166,276617,5901355,328235,67003,873033,309590,48786,45814,2447853,278961
Para,2017,13971348,145236495,715.0,1513.0,0.11800000000000001,241486,252929,0.45799999999999996,2373317,4231182,4164171,71473,301747,407517,453059,415819,823965,667736,466921,316492,181434,90386,34633,69252,289582,393920,435647,408226,825611,655941,452176,312045,180384,96248,45139,571646,60566,7943,140001,38045,5706,6609,834538,182354
Paraiba,2017,6496724,62036110,928.0,1661.75,0.114,113526,117379,0.33,911125,1950540,2078296,28814,107504,150633,166116,163657,365484,303068,265673,173976,123757,64446,37412,26147,101492,143161,161269,158188,371142,321108,288889,202724,152175,93191,58810,504550,28667,2655,78599,26828,28327,4656,469196,64778
Parana,2017,50636970,426361178,1472.0,2485.5,0.09,1059573,1051833,0.38,3067483,5536582,5789088,58366,217870,297440,447315,441399,967244,834955,875219,677854,405986,224245,88689,52207,202861,294484,429302,440189,945038,879994,926135,748685,474879,265181,130133,4304271,268368,88176,632503,230245,8059,22088,1128674,286351
Pernambuco,2017,24175248,177616332,852.0,1784.75,0.177,371604,384671,0.43,2785720,4543568,4936497,54505,235598,352816,409274,375035,854383,745630,620480,417569,273286,136300,68692,53430,225688,337711,394511,372640,888020,804427,696988,506671,342737,202718,110956,1276880,92051,11793,176442,88690,37784,18602,1004935,103461
Piaui,2017,4774935,43662314,750.0,1455.25,0.129,88732,86859,0.381,826372,1561658,1650092,8387,32813,90709,100723,102755,322230,285229,220909,172448,119268,70044,36143,10550,33964,71168,91095,120873,303933,286363,224802,221769,135598,97765,52212,341656,28790,2493,84066,16769,6560,3732,537035,94916
Rio de Janeiro,2017,93797447,621233048,1445.0,2506.0,0.149,1063634,1163888,0.479,5905676,7950236,8777490,85409,348447,523118,687751,626079,1352399,1255772,1138101,963054,558133,292661,119312,84013,340254,508303,663994,614227,1392417,1363568,1270672,1148598,714887,432223,244334,4401662,144289,16285,334182,291180,41277,38273,918026,162918
Rio Grande do Norte,2017,7021735,62071133,845.0,1690.5,0.145,137040,138801,0.386,932549,1713537,1795968,20578,86174,123146,149691,152041,344188,263748,245056,148818,101039,50059,28999,20055,83127,113742,142215,149364,343065,275582,263827,170893,121354,69045,43699,533531,32851,3260,82943,28417,25927,5047,423707,59184
Rio Grande do Sul   ,2017,56954264,435297399,1635.0,2589.0,0.084,1011531,1023900,0.353,2962262,5481409,5845087,44921,194798,316763,431682,403442,968914,774715,803247,762144,464730,225769,90284,45590,190730,299610,413075,395977,971650,780929,863245,848723,537054,316017,182487,4185193,226176,56965,508279,249994,5665,20741,1059042,184952
Rondonia,2017,4161783,42338667,957.0,1835.0,0.08199999999999999,95789,95670,0.449,536754,923680,883870,14190,56940,73811,85032,86199,184748,145131,125422,81276,44918,18445,7568,12381,54930,72743,81024,81756,172748,147458,116430,78113,40216,18461,7610,266709,30522,6410,88034,12094,2597,1231,381743,116635
Roraima,2017,869897,11779095,1006.0,2251.25,0.099,20311,18514,0.588,183507,265079,258044,5063,20376,27593,30173,26620,51102,38999,29053,19618,10325,4411,1746,4775,19135,26153,29430,25895,51590,40304,27808,18184,8821,3981,1968,70086,4884,731,25538,4892,977,683,77944,19825
Santa Catarina,2017,38273943,264242358,1597.0,2527.5,0.071,906001,879221,0.355,1789930,3451734,3529151,37472,145486,197177,264625,278455,669387,530710,537847,417944,226627,108235,37769,36160,138086,190088,255822,275581,641875,530833,558925,442962,251816,139009,67994,2827795,150504,49568,374414,170548,1817,11901,851217,265643
Sao Paulo,2017,313002302,2136108093,1712.0,3084.75,0.134,4267365,4291399,0.441,14536592,21805684,23313160,210519,837005,1263157,1615299,1435863,4030011,3641753,3233493,2795573,1566116,811402,365493,207185,800738,1192626,1551509,1363182,3948686,3815050,3525987,3219320,1898652,1124471,665754,17719258,672998,166127,1891625,1156884,54904,119244,4493255,864997
Sergipe,2017,4203112,39177470,834.0,1707.75,0.14300000000000002,80947,83374,0.43,654662,1105494,1184169,12250,56014,79999,105657,96873,217520,182871,155229,96526,61228,28210,13117,12793,52728,77683,101774,99503,227527,199503,169522,111542,69552,40317,21725,318733,20949,2489,41315,15192,23178,3409,241509,41482
Tocantins,2017,3471934,34221709,937.0,1893.75,0.11699999999999999,63728,62354,0.484,483857,784730,766888,11487,47375,67688,78349,74483,147294,121746,96399,64541,41632,23742,9994,11163,47123,63670,74775,73879,147802,123374,94327,61997,37540,21750,9488,202852,22169,4748,61835,10321,1882,1610,225355,91845
Acre,2018,1403364,14007396,909.0,1787.5,0.135,21837,22887,0.5354,262080,422409,421340,7024,31526,45484,50398,40991,79838,65164,43862,29264,16609,8129,4120,6734,30044,42530,49133,41719,80762,66837,44223,29895,17000,8378,4085,87005,7206,925,26711,4289,614,366,117656,25632
Alagoas,2018,5929126,55633578,714.0,1535.25,0.17,110079,109997,0.43939999999999996,956250,1626896,1847587,1020,18937,56302,107837,63255,367785,291972,294523,195105,138181,71560,20419,2859,17657,52655,119169,82565,389613,375432,309100,223992,137556,94275,42714,355700,21591,2485,55008,21538,3639,6667,288847,40279
Amapa,2018,679544,15294414,857.0,2056.25,0.20199999999999999,20589,19244,0.6241,294755,406940,407040,7170,29440,41393,47739,42809,80692,64199,44028,27409,13284,6466,2311,7287,27701,39741,46819,42348,82758,67386,43174,26453,13103,7006,3264,80325,4130,366,21860,4518,950,458,64681,12643
Amazonas,2018,11647062,93914632,791.0,1722.25,0.139,123110,119335,0.5573,1350983,2080973,2051142,36529,146600,207437,234863,199535,400141,332658,233926,155035,79625,38079,16545,35437,141025,197110,225992,197305,397478,335623,224051,152693,80204,42417,21807,393187,19994,3164,87082,27345,2013,3484,257183,57667
Bahia,2018,33113781,285859620,841.0,1609.25,0.17,567636,546897,0.41119999999999995,4317044,7481164,9053771,50073,234384,445857,525835,409830,1427070,1378079,1174532,841381,539167,308091,146865,38867,210239,362843,589013,488399,1509896,1434213,1246322,941038,556667,1487183,189091,1829141,118290,21294,358554,118914,16623,29254,1293820,192733
Ceara,2018,17894184,153877302,855.0,1544.0,0.113,376722,357097,0.4008,2443301,4426453,4663010,55224,223605,314969,427706,434739,871314,668103,586943,369478,255549,139842,78981,53677,213766,302797,407395,428145,891557,705654,633803,434011,296899,183864,111442,1142960,73796,8749,193683,61312,8502,12347,1377096,166362
Distrito Federal,2018,28799131,275265274,2460.0,4176.75,0.127,269100,255672,0.4697,994418,1482622,1619582,17038,72042,107660,126228,110063,289917,280302,219161,138050,72415,36805,12941,16998,70243,103116,121220,105976,303840,315748,246085,170720,95808,47948,21880,1284710,23986,3389,125823,87185,1232,5896,189662,19618
Espirito Santo,2018,11355980,86949040,1295.0,2144.75,0.115,321037,307029,0.46649999999999997,1331051,2001225,2063260,26058,99976,145527,169516,155374,383931,328426,266706,219184,119274,61090,26163,23574,99604,139156,164569,150201,380686,341266,276726,237681,133198,75451,41148,958812,73467,18004,169677,59085,1504,8248,444653,107412
Goias,2018,20838940,197811100,1323.0,2180.25,0.092,568544,551251,0.36950000000000005,2162196,3408220,3464838,41915,177058,259168,306965,278964,641238,601368,472426,317906,186340,89735,35137,43048,171785,253037,289392,275848,633338,613376,486526,345348,202358,106274,44508,1845838,112299,30536,356379,99833,27409,9952,876554,278440
